barometerValue,gzValue,mzValue,gpsTimeInMillis,systemTimeInMillis,myValue,zValue,tc,mxValue,latitudeValue,gxValue,lightValue,longitudeValue,xValue,altitudeValue,gyValue,yValue,globalFrame,temperatureValue
1004.8276,-0.003921509,-51.950073,1682811865000,1682811862820,25.486755,9.549759,00:58:56:01,24.227905,34.030098,-0.0010681152,35.0,-118.75661,0.27038574,24.0,-0.00093078613,0.093322754,1116,0.0
1004.8276,0.0009765625,-52.668762,1682811865000,1682811862855,26.14746,9.549759,00:58:56:02,24.241638,34.030098,0.00015258789,35.0,-118.75661,0.2679901,24.0,-0.002166748,0.098098755,1117,0.0
1004.8276,0.0009765625,-50.520325,1682811865000,1682811862888,25.479126,9.566513,00:58:56:03,24.227905,34.030098,0.002609253,35.0,-118.75661,0.25842285,24.0,-0.0033874512,0.102890015,1118,0.0
1004.8276,-0.0014648438,-51.939392,1682811865000,1682811862941,23.510742,9.542572,00:58:56:04,24.180603,34.030098,0.002609253,35.0,-118.75661,0.26560974,24.0,0.0002746582,0.088531494,1119,0.0
1004.8276,-0.0014648438,-52.66266,1682811865000,1682811862976,25.582886,9.5354,00:58:56:05,28.359985,34.030098,-0.0022888184,35.0,-118.75661,0.27038574,24.0,0.0015106201,0.090927124,1120,0.0
1004.83435,0.0009765625,-51.22986,1682811865000,1682811863053,24.871826,9.552155,00:58:56:06,26.278687,34.030098,-0.0010681152,35.0,-118.75661,0.25842285,24.0,0.0002746582,0.098098755,1121,0.0
1004.83435,-0.0014648438,-51.231384,1682811865000,1682811863137,24.809265,9.554535,00:58:56:07,23.524475,34.030098,-0.0010681152,35.0,-118.75661,0.25125122,24.0,0.0002746582,0.095718384,1122,0.0
1004.83435,-0.0026855469,-51.942444,1682811866000,1682811863221,24.168396,9.540192,00:24:26:08,24.195862,34.030098,0.001373291,35.0,-118.75661,0.25842285,24.0,0.0027160645,0.090927124,1123,0.0
1004.83435,0.0021972656,-52.668762,1682811866000,1682811863256,26.116943,9.537796,00:18:56:10,22.86377,34.030098,0.00015258789,35.0,-118.75661,0.27038574,24.0,0.0015106201,0.090927124,1124,0.0
1004.83435,-0.0014648438,-53.382874,1682811866000,1682811863292,26.135254,9.554535,00:58:56:12,23.553467,34.030098,0.001373291,35.0,-118.75661,0.25125122,24.0,0.0039520264,0.086135864,1125,0.0
1004.83435,0.0009765625,-51.950073,1682811866000,1682811863332,25.456238,9.521042,00:58:56:13,22.850037,34.030098,-0.0010681152,35.0,-118.75661,0.27278137,24.0,-0.00093078613,0.098098755,1126,0.0
1004.83435,0.0009765625,-53.378296,1682811866000,1682811863365,25.540161,9.547363,00:58:56:14,26.29242,34.030098,0.00015258789,35.0,-118.75661,0.26560974,24.0,0.0002746582,0.093322754,1127,0.0
1004.83606,-0.0026855469,-51.953125,1682811866000,1682811863425,26.12915,9.542572,00:58:56:15,23.554993,34.030098,0.001373291,35.0,-118.75661,0.24885559,24.0,0.0002746582,0.100494385,1128,0.0
1004.83606,-0.0026855469,-51.231384,1682811866000,1682811863460,24.839783,9.561722,00:58:56:16,24.902344,34.030098,0.00015258789,35.0,-118.75661,0.2632141,24.0,-0.00093078613,0.086135864,1129,0.0
1004.83606,-0.0014648438,-51.223755,1682811866000,1682811863504,23.554993,9.556931,00:58:56:17,26.246643,34.030098,-0.0022888184,35.0,-118.75661,0.25602722,24.0,-0.00093078613,0.098098755,1130,0.0
1004.83606,-0.00024414062,-50.509644,1682811866000,1682811863542,24.253845,9.554535,00:58:56:18,28.329468,34.030098,0.001373291,35.0,-118.75661,0.2536316,24.0,-0.00093078613,0.090927124,1131,0.0
1004.83606,-0.00024414062,-52.661133,1682811866000,1682811863581,24.845886,9.561722,00:58:56:19,24.900818,34.030098,0.00015258789,35.0,-118.75661,0.26081848,24.0,-0.0033874512,0.093322754,1132,0.0
1004.83606,-0.00024414062,-52.66571,1682811866000,1682811863617,25.474548,9.554535,00:58:56:20,23.538208,34.030098,-0.0022888184,35.0,-118.75661,0.2632141,24.0,-0.0033874512,0.090927124,1133,0.0
1004.83606,-0.0014648438,-54.096985,1682811866000,1682811863653,26.138306,9.580856,00:58:56:21,23.553467,34.030098,-0.0010681152,35.0,-118.75661,0.26081848,24.0,0.0002746582,0.102890015,1134,0.0
1004.83606,-0.0014648438,-52.661133,1682811866000,1682811863698,24.845886,9.530609,00:58:56:22,24.900818,34.030098,0.002609253,35.0,-118.75661,0.2679901,24.0,-0.0046081543,0.095718384,1135,0.0
1004.83606,-0.003921509,-50.52643,1682811866000,1682811863741,26.79596,9.559326,00:58:56:23,24.258423,34.030098,0.00015258789,35.0,-118.75661,0.26081848,24.0,-0.002166748,0.095718384,1136,0.0
1004.83606,-0.00024414062,-52.664185,1682811866000,1682811863776,25.52185,9.533005,00:58:57:00,25.605774,34.030098,-0.0022888184,35.0,-118.75661,0.279953,24.0,0.0015106201,0.088531494,1137,0.0
1004.8395,-0.0014648438,-51.945496,1682811866000,1682811863823,24.797058,9.561722,00:58:57:01,22.834778,34.030098,0.00015258789,35.0,-118.75661,0.26081848,24.0,-0.00093078613,0.088531494,1138,0.0
1004.8395,-0.0014648438,-52.668762,1682811866000,1682811863848,26.14746,9.547363,00:58:57:02,24.241638,34.030098,0.00015258789,35.0,-118.75661,0.27278137,24.0,-0.00093078613,0.093322754,1139,0.0
1004.8395,0.0021972656,-53.3844,1682811866000,1682811863893,26.841736,9.544968,00:58:57:03,25.636292,34.030098,-0.0010681152,35.0,-118.75661,0.2679901,24.0,-0.002166748,0.093322754,1140,0.0
